1;arms_factory;2041.00;10.50;2258.00;5.72;0
1;arms_factory;1973.00;11.00;2205.00;0.65;0
1;arms_factory;2232.00;9.50;2254.00;4.77;0
1;arms_factory;1987.00;10.73;2194.00;0.04;0
1;arms_factory;2272.00;9.93;2271.00;4.17;0
1;arms_factory;2131.00;10.15;2295.00;5.37;0
1;industrial_complex;2116.00;10.60;2194.00;3.21;0
1;industrial_complex;1991.00;11.03;2209.00;6.23;0
1;industrial_complex;2264.00;10.10;2285.00;1.16;0
1;industrial_complex;1974.00;10.80;2261.00;5.28;0
1;industrial_complex;2288.00;10.03;2275.00;0.55;0
1;industrial_complex;2087.00;10.78;2183.00;3.22;0
1;air_base;2126.00;10.60;2197.00;5.88;0
1;bunker;2162.00;10.20;2294.00;3.73;0
1;bunker;2131.00;10.10;2291.00;3.83;0
1;bunker;1968.00;10.70;2242.00;1.67;0
1;bunker;2040.00;10.40;2236.00;4.33;0
1;bunker;2294.00;9.75;2230.00;0.71;0
1;bunker;2187.00;10.98;2238.00;3.73;0
1;bunker;2049.00;10.62;2220.00;0.11;0
1;bunker;2099.00;10.20;2300.00;2.78;0
1;bunker;2023.00;10.35;2284.00;5.44;0
1;bunker;2199.00;10.65;2244.00;2.17;0
1;bunker;2248.00;9.93;2232.00;4.84;0
1;bunker;2118.00;10.95;2252.00;1.23;0
1;bunker;2125.00;10.98;2244.00;2.78;0
1;bunker;2278.00;10.07;2285.00;0.62;0
1;bunker;2177.00;10.50;2254.00;1.83;0
1;bunker;2187.00;9.50;2279.00;5.95;0
1;bunker;1964.00;10.70;2199.00;2.68;0
1;bunker;2104.00;10.60;2196.00;3.90;0
1;bunker;2292.00;9.75;2221.00;1.73;0
1;bunker;2222.00;10.15;2278.00;4.40;0
1;bunker;2081.00;10.60;2196.00;5.96;0
1;bunker;2229.00;10.10;2238.00;2.34;0
1;bunker;2056.00;10.30;2266.00;0.18;0
1;bunker;2041.00;10.70;2154.00;1.39;0
1;bunker;2267.00;10.00;2261.00;4.40;0
1;bunker;2033.00;11.10;2193.00;0.79;0
1;bunker;2296.00;9.80;2239.00;4.91;0
1;bunker;2003.00;10.60;2287.00;0.18;0
1;bunker;1991.00;11.00;2206.00;2.85;0
1;bunker;2047.00;10.38;2281.00;0.69;0
1;bunker;2011.00;11.05;2207.00;1.90;0
1;bunker;2200.00;10.20;2189.00;4.91;0
1;bunker;2159.00;10.55;2214.00;1.29;0
1;bunker;2157.00;10.50;2194.00;3.96;0
1;bunker;2105.00;10.68;2224.00;0.34;0
1;bunker;2142.00;10.10;2281.00;3.36;0
1;bunker;2101.00;10.60;2251.00;4.57;0
1;bunker;2036.00;10.40;2240.00;2.41;0
1;bunker;2073.00;10.60;2270.00;0.25;0
1;bunker;2025.00;10.65;2266.00;0.35;0
1;bunker;2063.00;10.75;2153.00;4.47;0
1;bunker;1998.00;10.98;2191.00;0.85;0
1;bunker;2229.00;10.05;2211.00;3.87;0
1;bunker;2097.00;10.60;2168.00;5.08;0
1;bunker;2295.00;9.85;2296.00;2.92;0
1;bunker;2253.00;10.07;2301.00;5.58;0
1;bunker;2226.00;10.10;2237.00;0.86;0
1;bunker;2257.00;9.70;2217.00;3.52;0
1;bunker;2201.00;10.25;2297.00;1.36;0
1;anti_air_building;1998.00;10.60;2230.00;4.03;0
1;anti_air_building;2096.00;10.32;2279.00;5.59;0
1;anti_air_building;2292.00;10.00;2261.00;3.42;0
1;synthetic_refinery;2004.00;11.20;2257.00;4.64;0
